,winery,variety,country,province,price,points
29332,Silver Totem,Cabernet Sauvignon,US,Washington,19.0,88
29333,Sipp Mack,Riesling,France,Alsace,18.0,88
29334,Giacosa Fratelli,Nebbiolo,Italy,Piedmont,52.0,90
29335,Gaba do Xil,Godello,Spain,Northern Spain,19.0,89
29336,Bonterra,Zinfandel,US,California,16.0,91
29337,Municipal Winemakers,Rosé,US,California,24.0,88
29338,De Martino,Cabernet Sauvignon,Chile,Maipo Valley,16.0,87
29339,Siduri,Pinot Noir,US,California,55.0,93
29340,Casarena,Malbec,Argentina,Mendoza Province,17.0,87
29341,Silvara,Malbec,US,Washington,42.0,89
29342,Dominio de Punctum,Tempranillo,Spain,Central Spain,10.0,85
29343,Companhia das Quintas,Portuguese Red,Portugal,Beira Interior,10.0,86
29344,Maison Bleue,Marsanne,US,Washington,35.0,88
29345,Codorníu,Pinot Noir,Spain,Catalonia,15.0,87
29346,Bonterra,Merlot,US,California,15.0,83
29347,Longevity,Pinot Blanc,US,California,24.0,86
29348,Domino,Merlot,US,California,8.0,83
29349,Woodenhead,Pinot Noir,US,California,46.0,94
29350,Williams Selyem,Pinot Noir,US,California,100.0,95
29351,Navarro,Riesling,US,California,19.0,89
29352,Benegas,Malbec,Argentina,Mendoza Province,12.0,87
29353,Malvirà,Arneis,Italy,Piedmont,19.0,88
29354,Cooper-Garrod,Red Blend,US,California,39.0,88
29355,Bodegas Abanico,Godello,Spain,Northern Spain,21.0,90
29356,Pepper Bridge,Bordeaux-style Red Blend,US,Washington,65.0,91
29357,Rocca di Fabbri,Red Blend,Italy,Central Italy,16.0,86
29358,Domaine Laporte,Pinot Noir,France,Loire Valley,50.0,89
29359,Grey Wolf Cellars,Grenache,US,California,32.0,91
29360,Georges Vigouroux,Malbec,France,Southwest France,13.0,88
29361,Channing Daughters,Chardonnay,US,New York,13.0,84
29362,Latta,Grenache,US,Washington,40.0,94
29363,Château Famaey,Rosé,France,Southwest France,12.0,84
29364,Experience,Red Blend,US,California,27.0,84
29365,Concha y Toro,Sauvignon Blanc,Chile,Chile,11.0,83
29366,Mas del Périé,Malbec,France,Southwest France,17.0,89
29367,Quinta Vale Dona,Portuguese Red,Portugal,Douro,45.0,93
29368,Sandhi,Chardonnay,US,California,38.0,85
29369,Lakewood,Riesling,US,New York,20.0,88
29370,Mettler Family Vineyards,Petite Sirah,US,California,25.0,93
29371,Joullian,Zinfandel,US,California,26.0,87
29372,Hamilton,Cabernet Sauvignon,US,Washington,28.0,86
29373,Ormonde,Chardonnay,South Africa,Darling,15.0,87
29374,Pope Valley Winery,Sangiovese,US,California,28.0,83
29375,Baron De Ley,Maturana,Spain,Northern Spain,20.0,87
29376,Raffy,Malbec,Argentina,Mendoza Province,25.0,90
29377,Horton,Tannat,US,Virginia,25.0,88
29378,Falcone,Syrah,US,California,30.0,90
29379,Thurston Wolfe,Petite Sirah,US,Washington,20.0,91
29380,Firestone,Chardonnay,US,California,17.0,91
29381,Torre di Luna,Pinot Grigio,Italy,Northeastern Italy,12.0,84
29382,Arger-Martucci,Sauvignon Blanc-Semillon,US,California,45.0,90
29383,Coeur d'Alene,Syrah,US,Washington,28.0,89
29384,Querceto,Sangiovese,Italy,Tuscany,11.0,83
29385,Finca Perdriel,Bordeaux-style Red Blend,Argentina,Mendoza Province,36.0,90
29386,Castello Banfi,Syrah,Italy,Tuscany,36.0,91
29387,Vilarnau,Sparkling Blend,Spain,Catalonia,20.0,89
29388,Anciano,Tempranillo,Spain,Central Spain,15.0,84
29389,Tamber Bey,Cabernet Sauvignon,US,California,50.0,88
29390,Coruce,Chardonnay,US,California,24.0,86
29391,Bodega Classica,Tempranillo Blend,Spain,Northern Spain,15.0,87
29392,Terlato,Bordeaux-style Red Blend,US,California,50.0,88
29393,Dr. Fischer,Riesling,Germany,Mosel,24.0,88
29394,Tyrrell's,Chardonnay,Australia,Australia Other,14.0,86
29395,Grey Wolf Cellars,Zinfandel,US,California,20.0,88
29396,Gersing,Pinot Noir,US,Oregon,39.0,88
29397,Château des Combes,Bordeaux-style Red Blend,France,Bordeaux,12.0,86
29398,Courtney Benham,Red Blend,US,California,15.0,84
29399,Brezza,Nebbiolo,Italy,Piedmont,46.0,94
29400,Matthews,Sauvignon Blanc,US,Washington,35.0,90
29401,Vicente Gandia,Sparkling Blend,Spain,Catalonia,11.0,86
29402,Natale Verga,Cortese,Italy,Piedmont,12.0,86
29403,Waxwing,Pinot Noir,US,California,39.0,91
29404,Raptor Ridge,Pinot Noir,US,Oregon,55.0,91
29405,Maurer,Grüner Veltliner,Austria,Weinviertel,24.0,89
29406,Il Molino di,Sangiovese,Italy,Tuscany,45.0,87
29407,Raymond,Red Blend,US,California,15.0,83
29408,Beni di Batasiolo,Nebbiolo,Italy,Piedmont,49.0,92
29409,Brick & Mortar,Pinot-Chardonnay,US,California,28.0,90
29410,Mount Pleasant Winery,Norton,US,Missouri,12.0,83
29411,Château d'Aydie,Red Blend,France,France Other,10.0,85
29412,Simonnet-Febvre,Chardonnay,France,Burgundy,37.0,90
29413,Henri de Villamont,Chardonnay,France,Burgundy,28.0,88
29414,Carrick,Pinot Noir,New Zealand,Central Otago,30.0,88
29415,Joseph Swan Vineyards,Pinot Noir,US,California,38.0,92
29416,Portal del Montsant,White Blend,Spain,Catalonia,27.0,86
29417,Schröder & Schÿler,Bordeaux-style Red Blend,France,Bordeaux,12.0,87
29418,Château de Jonquieres,Rosé,France,Languedoc-Roussillon,17.0,87
29419,Bodegas San Valero,Garnacha,Spain,Northern Spain,14.0,87
29420,Errazuriz,Sauvignon Blanc,Chile,Aconcagua Costa,20.0,89
29421,Hilltown,Cabernet Sauvignon,US,California,7.0,84
29422,Vignerons de Bel,Gamay,France,Beaujolais,22.0,88
29423,Fire and Oak,Pinot Noir,US,California,16.0,82
29424,Heron Hill,Pinot Noir,US,New York,20.0,89
29425,Lovingston,Merlot,US,Virginia,20.0,88
29426,Raised By Wolves,Cabernet Sauvignon,US,Washington,26.0,84
29427,Winzer Krems,Grüner Veltliner,Austria,Niederösterreich,24.0,89
29428,Torii Mor,Pinot Noir,US,Oregon,60.0,89
29429,Sparkling Pointe,Sparkling Blend,US,New York,29.0,89
29430,Cheval Quancard,Bordeaux-style White Blend,France,Bordeaux,15.0,87
29431,Kamiak,Red Blend,US,Washington,15.0,88
29432,Bacalhôa Wines of,Rosé,Portugal,Península de Setúbal,9.0,84
29433,Bonterra,Red Blend,US,California,45.0,91
29434,Durigutti,Malbec,Argentina,Mendoza Province,16.0,88
29435,James River,Chambourcin,US,Virginia,16.0,82
29436,Magnolia Court,Sauvignon Blanc,US,California,13.0,82
29437,Tabor,White Blend,Israel,Galilee,24.0,88
29438,Zull,Grüner Veltliner,Austria,Niederösterreich,14.0,85
29439,Domaine de l'Amaurigue,Rosé,France,Provence,21.0,90
29440,Millésimé,Viognier,US,California,68.0,90
29441,Cave Spring,Riesling,Canada,Ontario,30.0,89
29442,Kathryn Kennedy,Cabernet Sauvignon,US,California,100.0,97
29443,Plaisance Ranch,Pinot Noir,US,Oregon,25.0,87
29444,Errazuriz,Pinot Noir,Chile,Aconcagua Valley,25.0,91
29445,Tabor,Shiraz,Israel,Galilee,15.0,90
29446,Cave de Lugny,Chardonnay,France,Burgundy,14.0,85
29447,Macari,Chardonnay,US,New York,19.0,86
29448,Alta Maria,Grenache,US,California,60.0,87
29449,Cedarville Vineyard,Red Blend,US,California,36.0,88
29450,Torres,Cabernet Sauvignon,Spain,Catalonia,24.0,88
29451,Valiano,Sangiovese,Italy,Tuscany,21.0,88
29452,Domaine de l'Aurage,Bordeaux-style Red Blend,France,Bordeaux,50.0,84
29453,Grevino,Riesling,US,California,40.0,88
29454,ONX,White Blend,US,California,25.0,91
29455,Domaine Charles Baur,Riesling,France,Alsace,27.0,93
29456,Beni di Batasiolo,Sparkling Blend,Italy,Italy Other,39.0,87
29457,DFJ Vinhos,Portuguese Red,Portugal,Alentejano,9.0,87
29458,Muruve,Tinta de Toro,Spain,Northern Spain,16.0,91
29459,Viña Casablanca,Sauvignon Blanc,Chile,Casablanca Valley,15.0,87
29460,Le Bonheur,Sauvignon Blanc,South Africa,Simonsberg-Stellenbosch,12.0,87
29461,Hoyt Family Vineyards,Cabernet Sauvignon,US,California,55.0,90
29462,Le Palaie,Red Blend,Italy,Tuscany,36.0,85
29463,Château la Gaffelière,Bordeaux-style Red Blend,France,Bordeaux,50.0,91
29464,Pierre Amadieu,Rhône-style Red Blend,France,Rhône Valley,35.0,92
29465,Columbia Crest,Cabernet Sauvignon,US,Washington,45.0,91
29466,Château Franc Pipeau,Bordeaux-style Red Blend,France,Bordeaux,35.0,90
29467,Tenute Costa,Sangiovese,Italy,Tuscany,14.0,87
29468,Benovia,Pinot Noir,US,California,62.0,90
29469,Quinta Cruz,Tempranillo,US,California,20.0,89
29470,Hecht & Bannier,Provence red blend,France,Provence,38.0,92
29471,Vinos de Arganza,Mencía,Spain,Northern Spain,19.0,88
29472,Cinder,Syrah,US,Idaho,29.0,89
29473,CarlindePaolo,Barbera,Italy,Piedmont,30.0,86
29474,Happy Canyon Vineyard,Merlot,US,California,42.0,92
29475,Guarachi Family,Pinot Noir,US,California,65.0,91
29476,Baron Knyphausen,Riesling,Germany,Rheingau,71.0,91
29477,La Fenêtre,Pinot Noir,US,California,40.0,93
29478,Hall,Cabernet Sauvignon,US,California,100.0,89
29479,Protos,Tempranillo,Spain,Northern Spain,60.0,92
29480,Il Poggione,Sangiovese,Italy,Tuscany,19.0,90
29481,Carmel,Cabernet Sauvignon,Israel,Galilee,35.0,89
29482,Pol Roger,Champagne Blend,France,Champagne,50.0,90
29483,Ninquén,Cabernet Sauvignon,Chile,Colchagua Valley,34.0,91
29484,Morro Bay,Cabernet Sauvignon,US,California,12.0,86
29485,Erste Neue,Pinot Grigio,Italy,Northeastern Italy,17.0,89
29486,Jade Mountain,White Blend,US,California,20.0,85
29487,Joseph Filippi,Sherry,US,California,25.0,90
29488,Oso Libre,Cabernet Sauvignon,US,California,50.0,87
29489,Martha Clara,Syrah,US,New York,24.0,88
29490,Giornata,Aglianico,US,California,30.0,92
29491,Château du Donjon,Rosé,France,Languedoc-Roussillon,16.0,90
29492,De Loach,Chardonnay,US,California,50.0,92
29493,Quilceda Creek,Merlot,US,Washington,60.0,92
29494,Öko,Malbec,Argentina,Mendoza Province,11.0,85
29495,Château Lynch-Bages,Bordeaux-style White Blend,France,Bordeaux,70.0,89
29496,Domaine Jean Bousquet,Chardonnay,Argentina,Mendoza Province,11.0,81
29497,Tranche,Rhône-style White Blend,US,Washington,30.0,91
29498,Prats & Symington,Portuguese Red,Portugal,Douro,16.0,89
29499,Marcarini,Dolcetto,Italy,Piedmont,18.0,86
29500,Leon Beyer,Riesling,France,Alsace,63.0,93
29501,Vionta,Albariño,Spain,Galicia,12.0,81
29502,Minassian-Young,Zinfandel,US,California,28.0,85
29503,Tamarack Cellars,Bordeaux-style Red Blend,US,Washington,50.0,91
29504,Château La Dournie,Rhône-style Red Blend,France,Languedoc-Roussillon,16.0,87
29505,Siegel,Merlot,Chile,Colchagua Valley,13.0,85
29506,Seven Deadly Zins,Zinfandel,US,California,16.0,87
29507,Fielding Hills,Syrah,US,Washington,40.0,94
29508,Morgan,Pinot Noir,US,California,35.0,90
29509,René Muré,Riesling,France,Alsace,32.0,92
29510,Fat Cat,Cabernet Sauvignon,US,California,11.0,86
29511,Fazeli Cellars,Red Blend,US,California,48.0,88
29512,Le Potazzine,Sangiovese Grosso,Italy,Tuscany,72.0,93
29513,K Vintners,Syrah,US,Washington,30.0,92
29514,Pezat,Sauvignon Blanc,France,Bordeaux,15.0,86
29515,Camaraderie,Cabernet Sauvignon,US,Washington,40.0,89
29516,Standing Stone,Gewürztraminer,US,New York,15.0,89
29517,Bodega Norton,Bordeaux-style Red Blend,Argentina,Mendoza Province,23.0,91
29518,Domaine Loew,Riesling,France,Alsace,29.0,90
29519,Syan,Shiraz,Australia,Victoria,25.0,90
29520,Basagoiti,Red Blend,Spain,Northern Spain,32.0,89
29521,Colosi,White Blend,Italy,Sicily & Sardinia,12.0,85
29522,Villa Gianna,Sauvignon,Italy,Central Italy,15.0,87
29523,Glover Family,Sauvignon Blanc,New Zealand,Marlborough,17.0,89
29524,RockBare,Shiraz,Australia,South Australia,18.0,81
29525,Two Vintners,Roussanne,US,Washington,20.0,86
29526,Illuminati Dino,Red Blend,Italy,Central Italy,48.0,86
29527,Pedro Romero,Sherry,Spain,Andalucia,75.0,88
29528,Vranken,Champagne Blend,France,Champagne,55.0,88
29529,Cameron Hughes,G-S-M,US,California,13.0,84
29530,PerryMoore,Cabernet Sauvignon,US,California,150.0,94
29531,Center of Effort,Chardonnay,US,California,30.0,87
29532,Gustave Lorentz,Riesling,France,Alsace,23.0,87
29533,Isole e Olena,Syrah,Italy,Tuscany,52.0,91
29534,Chaltén,Sauvignon Blanc,Argentina,Other,14.0,85
29535,Louis Latour,Pinot Noir,France,Burgundy,165.0,95
29536,Niepoort,Port,Portugal,Port,19.0,88
29537,Luigi Bosca,Cabernet Blend,Argentina,Mendoza Province,27.0,87
29538,Chime,Chardonnay,US,California,13.0,86
29539,Château Tour des,Bordeaux-style Red Blend,France,Southwest France,50.0,90
29540,Halleck,Sauvignon Blanc,US,California,32.0,85
29541,Bucklin,Zinfandel,US,California,34.0,87
29542,Domaine Schoffit,White Blend,France,Alsace,21.0,90
29543,Maison L'Envoyé,Pinot Noir,US,Oregon,40.0,90
29544,Argiolas,Nasco,Italy,Sicily & Sardinia,20.0,91
29545,Pride Mountain,Syrah,US,California,60.0,90
29546,Ponzi,Chardonnay,US,Oregon,63.0,94
29547,Fabrizio Dionisio,Syrah,Italy,Tuscany,28.0,89
29548,Astoria,Glera,Italy,Veneto,25.0,87
29549,Irony,Pinot Noir,US,California,15.0,85
29550,Gård,Cabernet Sauvignon,US,Washington,55.0,90
29551,Poggio alla Sala,Red Blend,Italy,Tuscany,20.0,88
29552,Domaine Pellé,Sauvignon Blanc,France,Loire Valley,34.0,91
29553,Fernwood,Chardonnay,US,California,30.0,87
29554,Londer,Gewürztraminer,US,California,26.0,88
29555,Zenato,Turbiana,Italy,Lombardy,40.0,88
29556,Adegas Gran Vinum,Albariño,Spain,Galicia,22.0,89
29557,Château de Nages,Rosé,France,Rhône Valley,17.0,88
29558,Cavatappi,Nebbiolo,US,Washington,26.0,88
29559,Sea Pearl,Pinot Noir,New Zealand,Marlborough,14.0,86
29560,Pio Cesare,Nebbiolo,Italy,Piedmont,65.0,94
29561,Silverado,Cabernet Sauvignon,US,California,48.0,86
29562,A to Z,Riesling,US,Oregon,13.0,88
29563,Settesoli,White Blend,Italy,Sicily & Sardinia,25.0,87
29564,Fitz-Ritter,Chardonnay,Germany,Pfalz,25.0,91
29565,Folie à Deux,Merlot,US,California,22.0,87
29566,VJB,Port,US,California,28.0,84
29567,Xama Kaye,Malbec,Argentina,Mendoza Province,16.0,84
29568,Vincent,Chardonnay,France,Burgundy,20.0,87
29569,Signano,Vernaccia,Italy,Tuscany,35.0,85
29570,Doña Paula,Malbec,Argentina,Mendoza Province,16.0,85
29571,Obelisco Estate,Cabernet Sauvignon,US,Washington,125.0,88
29572,Long Meadow Ranch,Chardonnay,US,California,40.0,91
29573,Tenuta Duecorti,Nebbiolo,Italy,Piedmont,70.0,88
29574,Malibu,Syrah,US,California,30.0,89
29575,Villa San Juliette,Rosé,US,California,20.0,89
29576,Foxen,Syrah,US,California,48.0,94
29577,Château de Carolle,Bordeaux-style Red Blend,France,Bordeaux,10.0,86
29578,Condor's Summit,Malbec,Argentina,Other,10.0,85
29579,Cave du Vin,Prié Blanc,Italy,Italy Other,28.0,87
29580,Fabbioli Cellars,Red Blend,US,Virginia,30.0,88
29581,Wölffer,Cabernet Franc,US,New York,35.0,89
29582,Trefethen,Riesling,US,California,25.0,90
29583,Woodward Canyon,Cabernet Sauvignon,US,Washington,44.0,91
29584,Dr. Konstantin Frank,Sparkling Blend,US,New York,21.0,89
29585,Vignobles Falgueyret Leglise,Bordeaux-style Red Blend,France,Bordeaux,15.0,84
29586,Forest Glen,Chardonnay,US,California,8.0,84
29587,Paul Jaboulet Aîné,Rhône-style White Blend,France,Rhône Valley,52.0,87
29588,De Loach,Chardonnay,US,California,50.0,93
29589,Damiani,Pinot Noir,US,New York,47.0,89
29590,Cedar View Winery,Zinfandel,US,California,23.0,84
29591,Marquis de Chasse,Bordeaux-style White Blend,France,Bordeaux,9.0,84
29592,Mercer,Rosé,US,Washington,13.0,87
29593,Kudos,Pinot Noir,US,Oregon,20.0,89
29594,Carol Shelton,Cabernet Sauvignon,US,California,75.0,94
29595,Livio Felluga,Pinot Grigio,Italy,Northeastern Italy,25.0,86
29596,Cameron Hughes,Cabernet Sauvignon,US,California,75.0,87
29597,Dr. Bürklin-Wolf,Riesling,Germany,Pfalz,38.0,93
29598,Château Landereau,Bordeaux-style White Blend,France,Bordeaux,18.0,88
29599,Vermeil,Cabernet Sauvignon,US,California,150.0,88
29600,Novaia,"Corvina, Rondinella, Molinara",Italy,Veneto,50.0,92
29601,Upchurch,Cabernet Sauvignon,US,Washington,70.0,92
29602,Paraduxx,Red Blend,US,California,80.0,90
29603,Seneca Shore,Lemberger,US,New York,15.0,88
29604,Finca Don Carlos,Malbec,Argentina,Mendoza Province,29.0,90
29605,3 Horse Ranch,Syrah-Mourvèdre,US,Idaho,25.0,83
29606,Poderi Foglia,White Blend,Italy,Southern Italy,16.0,87
29607,Heibel Ranch,Cabernet Sauvignon,US,California,75.0,84
29608,Cosentino,Chardonnay,US,California,15.0,87
29609,D'Arenberg,Shiraz,Australia,South Australia,85.0,91
29610,Dry River,Pinot Noir,New Zealand,Martinborough,120.0,91
29611,Château Tour Bayard,Bordeaux-style Red Blend,France,Bordeaux,20.0,88
29612,Thiénot,Pinot Noir,France,Champagne,100.0,92
29613,Fattoria Torre a,Sangiovese,Italy,Tuscany,29.0,91
29614,Marchesato degli Aleramici,Sangiovese Grosso,Italy,Tuscany,46.0,88
29615,L. Tramier &,Pinot Noir,France,Burgundy,73.0,90
29616,Steindorfer,Blaufränkisch,Austria,Burgenland,34.0,91
29617,Quivet Cellars,Cabernet Sauvignon,US,California,65.0,84
29618,Tamás Estates,Zinfandel,US,California,10.0,85
29619,Luca,Malbec,Argentina,Mendoza Province,35.0,86
29620,Klinker Brick,Zinfandel,US,California,18.0,83
29621,Barton & Guestier,Grolleau,France,Loire Valley,10.0,82
29622,Domaine Dubost,Chardonnay,France,Beaujolais,19.0,89
29623,Castello di Bossi,Sangiovese,Italy,Tuscany,20.0,89
29624,Odfjell,Cabernet Sauvignon,Chile,Maipo Valley,12.0,85
29625,Ocelli,Grenache,US,Washington,30.0,90
29626,Cousiño-Macul,Red Blend,Chile,Maipo Valley,26.0,88
29627,Firestone,Syrah,US,California,40.0,91
29628,Stottle,Viognier,US,Washington,20.0,90
29629,Janzen,Cabernet Sauvignon,US,California,135.0,89
29630,Rock Wall,Zinfandel,US,California,45.0,90
29631,Tarara,White Blend,US,Virginia,20.0,85
29632,Marqués de Cáceres,White Blend,Spain,Northern Spain,12.0,84
29633,Domaine Jean Bousquet,Malbec,Argentina,Mendoza Province,12.0,84
29634,Chanson Père et,Chardonnay,France,Burgundy,65.0,89
29635,Kate Radburnd,Sauvignon Blanc,New Zealand,Hawke's Bay,19.0,82
29636,Palacios Remondo,Garnacha,Spain,Northern Spain,50.0,88
29637,Terre de Loups,Carignan-Syrah,France,Languedoc-Roussillon,17.0,89
29638,Von Strasser,Cabernet Sauvignon,US,California,80.0,95
29639,Sauvion,Melon,France,Loire Valley,17.0,89
29640,Montecillo,Tempranillo,Spain,Northern Spain,35.0,88
29641,Schloss Wallhausen,Riesling,Germany,Nahe,57.0,88
29642,Elements of Sonoma,Cabernet Sauvignon,US,California,39.0,84
29643,Jaffurs,Viognier,US,California,30.0,90
29644,Haak,Malbec,US,Texas,25.0,86
29645,Miro,Pinot Noir,US,California,28.0,87
29646,Caldora Vini,Pecorino,Italy,Central Italy,20.0,87
29647,Fritz Windisch,Riesling,Germany,Rheinhessen,14.0,88
29648,Mooney Family,Pinot Noir,US,California,68.0,94
29649,Azienda Agricola Cogno,Barbera,Italy,Piedmont,23.0,88
29650,De Martino,Syrah,Chile,Choapa Valley,15.0,86
29651,Trenza,Red Blend,US,California,30.0,86
29652,Haras de Pirque,Sauvignon Blanc,Chile,Maipo Valley,10.0,87
29653,Château Haut Mouleyre,Rosé,France,Bordeaux,17.0,86
29654,Iron Horse,Chardonnay,US,California,46.0,91
29655,Il Poggione,Sangiovese,Italy,Tuscany,60.0,91
29656,Viña Herminia,Tempranillo,Spain,Northern Spain,14.0,88
29657,Castello di Amorosa,Red Blend,US,California,65.0,87
29658,Kenneth Volk,Merlot,US,California,36.0,86
29659,Abrazo,Garnacha,Spain,Northern Spain,8.0,87
29660,Siduri,Pinot Noir,US,California,60.0,91
29661,Barcino,Sparkling Blend,Spain,Catalonia,16.0,86
29662,Finca Sophenia,Sauvignon Blanc,Argentina,Mendoza Province,29.0,85
29663,Monchiero Carbone,Nebbiolo,Italy,Piedmont,20.0,89
29664,Lamberti,Glera,Italy,Veneto,15.0,85
29665,Lamadrid,Malbec,Argentina,Mendoza Province,20.0,92
29666,Château Côte Montpezat,Bordeaux-style Red Blend,France,Bordeaux,17.0,88
29667,Whitehall Lane,Cabernet Sauvignon,US,California,75.0,94
29668,Kirkland Signature,Pinot Noir,US,California,10.0,82
29669,Soléna,Pinot Gris,US,Oregon,20.0,91
29670,Wildhurst,Sauvignon Blanc,US,California,14.0,86
29671,Lucas & Lewellen,Syrah,US,California,26.0,88
29672,Silver,Syrah,US,California,22.0,88
29673,Santa Barbara Winery,Sangiovese,US,California,25.0,88
29674,Lirica,Plavac Mali,Croatia,Peljesac,16.0,84
29675,Lamadrid,Cabernet Sauvignon,Argentina,Mendoza Province,19.0,89
29676,Desert Wind,Chardonnay,US,Washington,15.0,86
29677,Syncline,Grenache Blanc,US,Washington,25.0,90
29678,Painted Rock,Syrah,Canada,British Columbia,65.0,92
29679,Or Haganuz,Shiraz,Israel,Galilee,17.0,90
29680,Benessere,Sangiovese,US,California,28.0,87
29681,Dutton-Goldfield,Gewürztraminer,US,California,25.0,93
29682,Antichi Vigneti di,Nebbiolo,Italy,Piedmont,53.0,92
29683,Los Cielos,Trebbiano,Argentina,Mendoza Province,9.0,83
29684,Château la Louvière,Bordeaux-style Red Blend,France,Bordeaux,45.0,88
29685,Massaya,Red Blend,Lebanon,Bekaa Valley,13.0,89
29686,Talley,Pinot Noir,US,California,70.0,97
29687,Merriam,Cabernet Franc,US,California,45.0,86
29688,Forefathers,Cabernet Sauvignon,US,California,50.0,92
29689,Fog Hill,Red Blend,US,California,12.0,80
29690,Montes,Carmenère,Chile,Colchagua Valley,22.0,88
29691,Bodega Elena de,Red Blend,Argentina,Mendoza Province,11.0,82
29692,Franciscan,Chardonnay,US,California,18.0,88
29693,Dr. Loosen,Riesling,Germany,Mosel,42.0,90
29694,Gainey,Chardonnay,US,California,22.0,87
29695,Clos du Val,Cabernet Sauvignon,US,California,35.0,90
29696,Black Kite,Pinot Noir,US,California,85.0,93
29697,Kumeu River,Chardonnay,New Zealand,Kumeu,20.0,89
29698,Treleaven,Riesling,US,New York,14.0,87
29699,W.H. Smith,Cabernet Sauvignon,US,California,58.0,90
29700,Château Tertre de,Bordeaux-style Red Blend,France,Bordeaux,20.0,89
29701,Fullerton,Pinot Noir,US,Oregon,55.0,90
29702,Château Malescasse,Bordeaux-style Red Blend,France,Bordeaux,18.0,90
29703,Bella Grace,Zinfandel,US,California,30.0,88
29704,St. Innocent,Pinot Noir,US,Oregon,42.0,92
29705,Gernot and Heike,Austrian Red Blend,Austria,Burgenland,55.0,89
29706,Trimbach,Riesling,France,Alsace,65.0,95
29707,Rock Wall,Rosé,US,California,18.0,87
29708,Château Graville-Lacoste,Bordeaux-style White Blend,France,Bordeaux,16.0,86
29709,Midsummer Cellars,Rosé,US,California,19.0,89
29710,Austin Hope,Syrah,US,California,42.0,86
29711,Château Bellerose Figeac,Bordeaux-style Red Blend,France,Bordeaux,32.0,89
29712,Tenuta degli Dei,Sangiovese,Italy,Tuscany,20.0,89
29713,Pepi,Chenin Blanc-Viognier,US,California,10.0,86
29714,Amity,Pinot Noir,US,Oregon,25.0,88
29715,Pascal Jolivet,Sauvignon Blanc,France,Loire Valley,54.0,93
29716,Manincor,Chardonnay,Italy,Northeastern Italy,35.0,90
29717,Gualdo del Re,Pinot Bianco,Italy,Tuscany,35.0,88
29718,Bodegas Ontañón,Viura,Spain,Northern Spain,15.0,87
29719,Stella Bella,Cabernet Sauvignon-Merlot,Australia,Western Australia,27.0,90
29720,One Woman,Sauvignon Blanc,US,New York,35.0,88
29721,Elk Cove,Pinot Noir,US,Oregon,38.0,90
29722,Carobbio,Red Blend,Italy,Tuscany,22.0,90
29723,Alta,Sauvignon Blanc,US,California,22.0,88
29724,Cortes de Cima,Portuguese White,Portugal,Alentejano,22.0,86
29725,Remo Farina,"Corvina, Rondinella, Molinara",Italy,Veneto,50.0,90
29726,Castell,Silvaner,Germany,Franken,21.0,87
29727,Naggiar,Grenache,US,California,24.0,89
29728,Stone Creek,Zinfandel,US,California,8.0,85
29729,Thorn Clarke,Pinot Grigio,Australia,South Australia,14.0,87
29730,Dante,Cabernet Sauvignon,US,California,11.0,85
29731,Sobon Estate,Barbera,US,California,16.0,86
29732,DFJ Vinhos,Touriga Nacional,Portugal,Lisboa,15.0,92
29733,Fattoria di Magliano,Syrah,Italy,Tuscany,65.0,90
29734,Larry Cherubino,Semillon-Sauvignon Blanc,Australia,Western Australia,29.0,82
29735,Batasiolo,Nebbiolo,Italy,Piedmont,79.0,92
29736,Basel Cellars,Syrah,US,Washington,28.0,92
29737,Château Haut Cabut,Bordeaux-style Red Blend,France,Bordeaux,16.0,87
29738,Miguel Torres,Cabernet Sauvignon,Chile,Central Valley,11.0,87
29739,Testarossa,Chardonnay,US,California,72.0,93
29740,Barone Pizzini,Pinot Nero,Italy,Lombardy,45.0,89
29741,Caliterra,Malbec,Chile,Colchagua Valley,20.0,85
29742,Clear Night,Riesling,Germany,Pfalz,11.0,86
29743,Skinner,Rhône-style Red Blend,US,California,32.0,90
29744,Girlan,Lagrein,Italy,Northeastern Italy,20.0,88
29745,Dopff & Irion,Pinot Gris,France,Alsace,27.0,87
29746,Howell at the,Cabernet Sauvignon,US,California,100.0,89
29747,Louis Métaireau,Melon,France,Loire Valley,19.0,87
29748,J. Bookwalter,Chenin Blanc,US,Washington,26.0,86
29749,Herdade Grande,Portuguese Red,Portugal,Alentejano,34.0,91
29750,Zull,Grüner Veltliner,Austria,Niederösterreich,14.0,86
29751,Fess Parker,Pinot Noir,US,California,58.0,94
29752,Yann Alexandre,Champagne Blend,France,Champagne,120.0,89
29753,Niedermayr Josef,Lagrein,Italy,Northeastern Italy,30.0,88
29754,Mettler Family Vineyards,Petite Sirah,US,California,25.0,86
29755,Murphy-Goode,Cabernet Sauvignon,US,California,39.0,90
29756,Big Table Farm,Pinot Noir,US,Oregon,42.0,92
29757,DaMa,Chardonnay,US,Washington,23.0,90
29758,Donati,Cabernet Sauvignon,US,California,40.0,90
29759,Agustí Torelló Mata,Trepat,Spain,Catalonia,38.0,91
29760,La Fortuna,Red Blend,Italy,Tuscany,37.0,88
29761,Celli,Sangiovese,Italy,Central Italy,27.0,88
29762,Cass,Syrah,US,California,49.0,91
29763,Novy,Syrah,US,California,27.0,93
29764,Dutton Estate,Pinot Noir,US,California,54.0,89
29765,Cantina Offida,Red Blend,Italy,Central Italy,13.0,86
29766,J Vineyards &,Pinot Noir,US,California,40.0,93
